Meter Consumption ID,Start Date,End Date,Usage/Quantity,Cost ($),Meter Name
1457394726,7/1/2009,7/31/2009,58233,3661.37,EL1
1457394727,8/1/2009,8/31/2009,282323,17949.02,EL1
1457394728,9/1/2009,9/30/2009,405601,23876.63,EL1
1457394729,10/1/2009,10/31/2009,387746,21179.26,EL1
1457394730,11/1/2009,11/30/2009,769449,38578.81,EL1
1457394731,12/1/2009,12/31/2009,109448,7305.06,EL1
1457394732,1/1/2010,1/31/2010,79997,4709.21,EL1
1457394733,2/1/2010,2/28/2010,295623,23907.27,EL1
1457394734,3/1/2010,3/31/2010,345094,19442.98,EL1
1457394735,4/1/2010,4/30/2010,433231,23955.68,EL1
1457394736,5/1/2010,5/31/2010,970260,62157.9,EL1
1457394737,6/1/2010,6/30/2010,199158,16536.32,EL1
1457394738,7/1/2010,7/31/2010,380602,54270.43,EL1
1457394739,8/1/2010,8/31/2010,528283,58136.17,EL1
1457394740,9/1/2010,9/30/2010,544528,49559.85,EL1
1457394741,10/1/2010,10/31/2010,794620,42214.71,EL1
1457394742,11/1/2010,11/30/2010,299902,16811.03,EL1
1457394743,12/1/2010,12/31/2010,95141,9588.39,EL1
1457394745,1/1/2011,1/31/2011,358548,30724.91,EL1
1457394746,2/1/2011,2/28/2011,214225,12900.8,EL1
1457394747,3/1/2011,3/31/2011,82480,5278.65,EL1
1457394748,4/1/2011,4/30/2011,384913,27104.15,EL1
1457394749,5/1/2011,5/31/2011,1116345,69905.52,EL1
1457394750,6/1/2011,6/30/2011,157495,19703.75,EL1
1457394751,7/1/2011,7/31/2011,417574,45482.16,EL1
1457394752,8/1/2011,8/31/2011,268993,20523.07,EL1
1457394753,9/1/2011,9/30/2011,944186,57897.23,EL1
1457394754,10/1/2011,10/31/2011,368945,19840.84,EL1
1457394755,11/1/2011,11/30/2011,537407,28729.68,EL1
1457394756,12/1/2011,12/31/2011,62353,2953.12,EL1
1457394757,1/1/2012,1/31/2012,551000,29049.99,EL1
1457394758,2/1/2012,2/29/2012,68599,2659.04,EL1
1457394759,3/1/2012,3/31/2012,118915,5566.9,EL1
1457394760,4/1/2012,4/30/2012,167247,5932.46,EL1
1457394761,5/1/2012,5/31/2012,1584146,75376.04,EL1
1457394762,6/1/2012,6/30/2012,333170,16933.41,EL1
1457394763,7/1/2012,7/31/2012,492453,41444.41,EL1
1457394764,8/1/2012,8/31/2012,386953,22562.73,EL1
1457394765,9/1/2012,9/30/2012,637070,36741.18,EL1
1457394766,10/1/2012,10/31/2012,460405,22247.61,EL1
1457394767,11/1/2012,11/30/2012,410422,23089.23,EL1
1457394768,12/1/2012,12/31/2012,951884,46780.59,EL1
1457394769,1/1/2013,1/31/2013,148969,6784.28,EL1
1457394770,2/1/2013,2/28/2013,189692,27694.48,EL1
1457394771,3/1/2013,3/31/2013,53767,2799.45,EL1
1457394772,4/1/2013,4/30/2013,222888,11848.07,EL1
1457394773,5/1/2013,5/31/2013,1108181,59754.39,EL1
1457394774,6/1/2013,6/30/2013,1081470,67621.03,EL1
1457394775,7/1/2013,7/31/2013,478902,43550.59,EL1
1457394776,8/1/2013,8/31/2013,326932,18939.58,EL1
1457394777,9/1/2013,9/30/2013,591944,37526.55,EL1
1457394778,10/1/2013,10/31/2013,371475,18783.54,EL1
1457394779,11/1/2013,11/30/2013,218128,10436.04,EL1
1457394780,12/1/2013,12/31/2013,168915,9638.21,EL1
1457394781,1/1/2014,1/31/2014,463828,143905.38,EL1
1457394782,2/1/2014,2/28/2014,491231,59294.71,EL1
